2023-04-20 19:52:30.146 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-20 19:52:30.161 [main] INFO  top.flobby.SpringBootServerApplication - Started SpringBootServerApplication in 5.875 seconds (process running for 6.724)
2023-04-20 19:53:17.708 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-20 19:53:17.765 [main] INFO  top.flobby.SpringBootServerApplication - Starting SpringBootServerApplication using Java 17.0.1 with PID 18272 (E:\java-projects\backend-learning\admin-template\admin-server\target\classes started by Flobby in E:\java-projects\backend-learning\admin-template)
2023-04-20 19:53:17.768 [main] INFO  top.flobby.SpringBootServerApplication - The following 1 profile is active: "dev"
2023-04-20 19:53:18.887 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-20 19:53:18.891 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-20 19:53:18.944 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 27 ms. Found 0 Redis repository interfaces.
2023-04-20 19:53:19.922 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-20 19:53:19.936 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-20 19:53:19.937 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-20 19:53:19.937 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-20 19:53:20.079 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-20 19:53:20.079 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2265 ms
